metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
qua,0,1,1,standard,False,0.014622898618378486,0.5025817897995817,0.42775171393120626,1
qua,1,3,2,standard,False,0.04132988752648896,0.48748312583604714,0.4243340006239386,1
qua,1,5,4,canonical,True,0.08679028375832401,0.49994092391216916,0.4250768165359322,1
qua,0,10,10,standard,False,0.5442359921357144,0.5154025374124056,0.4305566383789622,1
qua,0,100,100,standard,False,0.061204939645841325,0.5110988671169714,0.424200015150004,1
