judge,dataset,metric,best_range,best_agreement_pct,spread_pp,regret_pp,vs_canonical_pp
qwen3_4b,tc,gro,"[0,1]",89.8,8.3,0.99,+0.0
qwen3_4b,tc,nat,"[1,5]",87.9,6.6,1.61,+2.1
qwen3_4b,newsroom,coh,"[1,5]",83.6,3.9,0.86,+0.0
qwen3_4b,newsroom,flu,"[1,3]",48.1,8.0,1.05,+5.8
qwen3_4b,newsroom,inf,"[1,5]",88.7,1.1,0.94,+0.0
qwen3_4b,newsroom,rel,"[1,5]",87.0,2.3,1.12,+0.0
qwen3_4b,wp_a,coh,"[0,100]",75.3,6.2,3.07,+1.5
qwen3_4b,wp_a,enj,"[1,3]",77.9,6.2,3.33,+6.2
qwen3_4b,wp_a,gra,"[1,3]",71.6,6.9,3.21,+5.8
qwen3_4b,wp_a,rel,"[1,3]",77.1,6.0,3.76,+0.8
mistral_7b,summeval,coh,"[1,3]",76.4,2.7,0.11,+2.0
mistral_7b,summeval,con,"[1,5]",78.9,1.9,0.50,+0.0
mistral_7b,summeval,flu,"[0,1]",64.7,2.0,0.53,+0.4
mistral_7b,summeval,rel,"[1,3]",74.4,1.9,0.38,+1.3
mistral_7b,tc,coh,"[1,3]",84.1,4.0,0.93,+0.0
mistral_7b,tc,eng,"[1,3]",88.5,2.6,1.10,+0.0
mistral_7b,tc,gro,"[1,3]",87.9,4.2,1.26,+2.0
mistral_7b,tc,nat,"[1,3]",86.5,7.5,1.87,+0.0
mistral_7b,newsroom,coh,"[1,5]",68.2,5.1,1.10,+0.0
mistral_7b,newsroom,flu,"[1,3]",66.2,5.4,0.66,+1.6
mistral_7b,newsroom,inf,"[1,5]",70.7,4.3,1.38,+0.0
mistral_7b,newsroom,rel,"[1,3]",66.7,4.3,1.38,+0.1
mistral_7b,wp_a,coh,"[0,1]",83.0,3.9,3.30,+3.8
mistral_7b,wp_a,enj,"[1,3]",80.4,2.4,2.11,+0.4
mistral_7b,wp_a,gra,"[1,5]",82.8,5.5,4.65,+0.0
mistral_7b,wp_a,rel,"[0,1]",93.1,15.6,3.36,+6.9
gemma3_27b,summeval,coh,"[1,5]",81.7,4.1,0.44,+0.0
gemma3_27b,summeval,con,"[1,3]",96.7,10.4,0.11,+2.2
gemma3_27b,summeval,flu,"[1,3]",77.7,6.7,0.64,+5.6
gemma3_27b,summeval,rel,"[1,3]",84.6,4.7,0.53,+0.7
gemma3_27b,tc,coh,"[1,3]",91.3,6.2,0.79,+0.0
