model,dataset,metric,rmin,rmax,is_canon,n,raw_mean,raw_std,norm_mean,norm_std,norm_skew,norm_ent,pct_int,pct_min,pct_max,n_uniq
gemma2_9b,summeval,coh,0,1,False,1600,0.5179375,0.2065417538749731,0.5179375,0.2065417538749731,-0.0054773322221133,1.963431851089271,1.25,0.56,0.69,11
gemma2_9b,summeval,coh,1,3,False,1600,1.8895625,0.5592269741292439,0.4447812499999999,0.2796134870646219,-0.4223273985547292,1.3117735310494614,68.38,22.38,2.19,6
gemma2_9b,summeval,coh,1,5,True,1600,2.853125,0.9583463540782112,0.46328125,0.2395865885195527,-0.205172261275616,1.47892625375133,96.25,8.25,0.81,8
gemma2_9b,summeval,coh,0,10,False,1600,5.4109375,1.9228167154187497,0.54109375,0.1922816715418749,-0.290291548252289,1.9308568596480729,99.56,0.5,0.19,14
gemma2_9b,summeval,coh,0,100,False,1600,59.090625,18.53209815723452,0.59090625,0.1853209815723451,-0.4933814795993215,2.023643730779149,100.0,0.38,0.12,14
gemma2_9b,summeval,con,0,1,False,1600,0.7580000000000001,0.2266020741299602,0.7580000000000001,0.2266020741299602,-1.158269644241383,1.8513292561774983,25.38,1.44,23.94,11
gemma2_9b,summeval,con,1,3,False,1600,2.4271875,0.5775310293341388,0.71359375,0.2887655146670694,-1.0045584125724292,1.5826899064001785,66.25,7.88,32.56,7
gemma2_9b,summeval,con,1,5,True,1600,3.7891875000000006,0.9462435415070214,0.6972968750000001,0.2365608853767553,-0.950053998984287,1.414552946330701,96.12,2.94,17.88,8
gemma2_9b,summeval,con,0,10,False,1600,7.5271875,1.9768294286163768,0.7527187500000001,0.1976829428616376,-1.245817908513869,1.8643551305102888,97.94,0.44,7.0,11
gemma2_9b,summeval,con,0,100,False,1600,77.346875,17.769575198478297,0.7734687500000001,0.177695751984783,-1.4018594219137306,1.7605385972884964,100.0,0.31,4.44,13
gemma2_9b,summeval,flu,0,1,False,1587,0.4562696912413359,0.1523707145058888,0.4562696912413359,0.1523707145058888,0.955530782738998,1.6661215529040363,1.26,0.32,0.95,10
gemma2_9b,summeval,flu,1,3,False,1580,1.7863924050632911,0.4725753819105334,0.3931962025316455,0.2362876909552667,0.0791812094761699,1.343393171675697,59.75,14.49,2.22,6
gemma2_9b,summeval,flu,1,5,True,1581,2.582416192283365,0.8028456544922261,0.3956040480708412,0.2007114136230565,0.5608117733858295,1.5527968160267602,84.12,5.5,1.33,9
gemma2_9b,summeval,flu,0,10,False,1574,4.753494282083863,1.739984186466673,0.4753494282083863,0.1739984186466673,0.6636367152538345,1.8624867934099865,89.07,0.25,0.32,16
gemma2_9b,summeval,flu,0,100,False,1572,59.33206106870229,15.286672506199388,0.5933206106870229,0.1528667250619938,-0.2132800051679944,1.9732823606198973,100.0,0.19,0.13,15
gemma2_9b,summeval,rel,0,1,False,1600,0.61425,0.2063902553416706,0.61425,0.2063902553416706,-0.6084122451905243,2.006790443064823,2.56,0.62,1.94,11
gemma2_9b,summeval,rel,1,3,False,1600,2.1410625,0.546975887122778,0.57053125,0.273487943561389,-0.7309797063261427,1.5354852844344888,48.94,11.31,5.81,7
gemma2_9b,summeval,rel,1,5,True,1600,3.2763125000000004,0.8882117722388901,0.5690781250000001,0.2220529430597225,-0.7529217045490153,1.476665414834757,92.38,4.19,1.25,9
gemma2_9b,summeval,rel,0,10,False,1600,6.4690625,1.9241424378391925,0.6469062500000001,0.1924142437839192,-0.8968864916292649,1.866382806054262,99.06,0.5,0.06,14
gemma2_9b,summeval,rel,0,100,False,1600,66.8875,18.2859192754972,0.668875,0.182859192754972,-0.9716326274366424,1.9119450793722736,100.0,0.44,0.0,14
gemma2_9b,newsroom,coh,0,1,False,419,0.2520286396181384,0.2433152862756075,0.2520286396181384,0.2433152862756075,1.1593093099435017,1.7338944140111927,25.78,24.82,0.95,11
gemma2_9b,newsroom,coh,1,3,False,419,1.307875894988067,0.5661156209578188,0.1539379474940334,0.2830578104789094,1.571869798190356,0.8317869153879967,92.36,74.94,3.1,5
