judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
llama31_70b,tc,gro,0.5,0.5613,0.5705,-0.0092,0.07,0.11,0_1,24,47
llama31_70b,tc,nat,0.1,0.5865,0.6146,-0.0282,0.0283,0.332,1_3,5,48
llama31_70b,tc,nat,0.2,0.591,0.6149,-0.0239,0.0247,0.474,1_3,10,48
llama31_70b,tc,nat,0.3,0.5907,0.614,-0.0234,0.025,0.527,1_3,14,48
llama31_70b,tc,nat,0.4,0.5954,0.6161,-0.0208,0.0237,0.585,1_3,19,48
llama31_70b,tc,nat,0.5,0.5928,0.6127,-0.0199,0.0249,0.649,1_3,24,48
llama31_70b,wp_a,coh,0.1,0.5415,0.5701,-0.0287,0.0287,0.408,1_5,40,396
llama31_70b,wp_a,coh,0.2,0.5486,0.5711,-0.0225,0.0226,0.545,1_5,79,396
llama31_70b,wp_a,coh,0.3,0.5545,0.5695,-0.015,0.0153,0.695,1_5,119,396
llama31_70b,wp_a,coh,0.4,0.5581,0.571,-0.0129,0.0136,0.76,1_5,158,396
llama31_70b,wp_a,coh,0.5,0.5603,0.5696,-0.0093,0.0112,0.833,1_5,198,396
llama31_70b,wp_a,enj,0.1,0.4097,0.3869,0.0227,0.0232,0.103,1_5,39,392
llama31_70b,wp_a,enj,0.2,0.413,0.3869,0.0261,0.0217,0.065,1_5,78,392
llama31_70b,wp_a,enj,0.3,0.4146,0.3863,0.0283,0.0207,0.032,1_5,118,392
llama31_70b,wp_a,enj,0.4,0.4181,0.3894,0.0287,0.0217,0.013,1_5,157,392
llama31_70b,wp_a,enj,0.5,0.4155,0.3858,0.0297,0.0226,0.008,1_5,196,392
llama31_70b,wp_a,gra,0.1,0.4438,0.4526,-0.0088,0.019,0.248,1_5,40,399
llama31_70b,wp_a,gra,0.2,0.443,0.4513,-0.0082,0.0192,0.26,1_5,80,399
llama31_70b,wp_a,gra,0.3,0.4436,0.4524,-0.0087,0.0199,0.244,1_5,120,399
llama31_70b,wp_a,gra,0.4,0.4442,0.4526,-0.0083,0.0209,0.242,1_5,160,399
llama31_70b,wp_a,gra,0.5,0.4436,0.4517,-0.0081,0.0224,0.234,1_5,200,399
llama31_70b,wp_a,rel,0.1,0.5802,0.5491,0.0311,0.0266,0.125,1_5,40,396
llama31_70b,wp_a,rel,0.2,0.5865,0.5491,0.0374,0.0202,0.078,1_5,79,396
llama31_70b,wp_a,rel,0.3,0.5898,0.5496,0.0402,0.0172,0.042,1_5,119,396
llama31_70b,wp_a,rel,0.4,0.5937,0.5497,0.0439,0.0153,0.025,1_5,158,396
llama31_70b,wp_a,rel,0.5,0.5964,0.5517,0.0447,0.0152,0.011,1_5,198,396
