judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
llama31_8b,summeval,coh,0.1,0.4032,0.3299,0.0733,0.0268,0.056,1_5,10,100
llama31_8b,summeval,coh,0.2,0.4086,0.3303,0.0783,0.0218,0.016,1_5,20,100
llama31_8b,summeval,coh,0.3,0.4124,0.3297,0.0826,0.0189,0.003,1_5,30,100
llama31_8b,summeval,coh,0.4,0.4135,0.3298,0.0837,0.0191,0.001,1_5,40,100
llama31_8b,summeval,coh,0.5,0.4145,0.3294,0.0851,0.0206,0.001,1_5,50,100
llama31_8b,summeval,con,0.1,0.4521,0.4074,0.0447,0.0315,0.086,1_5,10,96
llama31_8b,summeval,con,0.2,0.4576,0.4076,0.0499,0.0258,0.043,1_5,19,96
llama31_8b,summeval,con,0.3,0.462,0.4066,0.0554,0.0213,0.016,1_5,29,96
llama31_8b,summeval,con,0.4,0.4659,0.4076,0.0582,0.0182,0.008,1_5,38,96
llama31_8b,summeval,con,0.5,0.4698,0.4087,0.0611,0.0164,0.001,1_5,48,96
llama31_8b,summeval,flu,0.1,0.241,0.2007,0.0403,0.0248,0.067,1_5,10,98
llama31_8b,summeval,flu,0.2,0.2494,0.2018,0.0477,0.017,0.012,1_5,20,98
llama31_8b,summeval,flu,0.3,0.2511,0.2002,0.051,0.0145,0.006,1_5,29,98
llama31_8b,summeval,flu,0.4,0.2541,0.2008,0.0533,0.0135,0.001,1_5,39,98
llama31_8b,summeval,flu,0.5,0.2543,0.2006,0.0537,0.0138,0.0,1_5,49,98
llama31_8b,summeval,rel,0.1,0.3576,0.3249,0.0327,0.0377,0.215,1_5,10,100
llama31_8b,summeval,rel,0.2,0.3662,0.3256,0.0406,0.0294,0.188,1_5,20,100
llama31_8b,summeval,rel,0.3,0.3745,0.3254,0.049,0.0207,0.112,1_5,30,100
llama31_8b,summeval,rel,0.4,0.3811,0.3242,0.0569,0.0143,0.074,1_5,40,100
llama31_8b,summeval,rel,0.5,0.3868,0.3243,0.0625,0.0084,0.043,1_5,50,100
llama31_8b,newsroom,coh,0.1,0.4018,0.3989,0.0028,0.0336,0.246,1_5,6,60
llama31_8b,newsroom,coh,0.2,0.4006,0.3994,0.0011,0.0379,0.252,1_5,12,60
llama31_8b,newsroom,coh,0.3,0.3984,0.3995,-0.0012,0.04,0.195,1_5,18,60
llama31_8b,newsroom,coh,0.4,0.3993,0.4001,-0.0008,0.0425,0.159,1_5,24,60
llama31_8b,newsroom,coh,0.5,0.3964,0.3993,-0.0029,0.0488,0.13,1_5,30,60
llama31_8b,newsroom,flu,0.1,0.3907,0.3975,-0.0067,0.0433,0.199,1_5,6,60
llama31_8b,newsroom,flu,0.2,0.3857,0.396,-0.0103,0.0498,0.161,1_5,12,60
llama31_8b,newsroom,flu,0.3,0.3877,0.3959,-0.0082,0.0512,0.154,1_5,18,60
llama31_8b,newsroom,flu,0.4,0.3871,0.3968,-0.0097,0.0566,0.15,1_5,24,60
llama31_8b,newsroom,flu,0.5,0.3861,0.3962,-0.0101,0.0616,0.132,1_5,30,60
llama31_8b,newsroom,inf,0.1,0.3691,0.2751,0.094,0.0441,0.07,1_5,6,59
llama31_8b,newsroom,inf,0.2,0.3779,0.2756,0.1022,0.0361,0.028,1_5,12,59
llama31_8b,newsroom,inf,0.3,0.3796,0.2752,0.1044,0.0374,0.011,1_5,18,59
llama31_8b,newsroom,inf,0.4,0.382,0.2739,0.108,0.0362,0.007,1_5,24,59
llama31_8b,newsroom,inf,0.5,0.384,0.275,0.109,0.0389,0.0,1_5,30,59
llama31_8b,newsroom,rel,0.1,0.3589,0.3327,0.0262,0.0474,0.27,1_5,6,60
llama31_8b,newsroom,rel,0.2,0.3623,0.3316,0.0307,0.0454,0.218,1_5,12,60
llama31_8b,newsroom,rel,0.3,0.3695,0.3348,0.0347,0.0407,0.155,1_5,18,60
llama31_8b,newsroom,rel,0.4,0.3673,0.3319,0.0353,0.0426,0.128,1_5,24,60
llama31_8b,newsroom,rel,0.5,0.3719,0.3322,0.0398,0.0425,0.085,1_5,30,60
llama31_8b,tc,coh,0.1,0.3662,0.4769,-0.1107,0.1267,0.21,0_1,3,27
llama31_8b,tc,coh,0.2,0.3534,0.4779,-0.1245,0.1522,0.194,0_1,5,27
llama31_8b,tc,coh,0.3,0.3406,0.477,-0.1364,0.1843,0.285,0_1,8,27
llama31_8b,tc,coh,0.4,0.3188,0.4769,-0.1581,0.2249,0.354,0_1,11,27
llama31_8b,tc,coh,0.5,0.2979,0.4822,-0.1843,0.28,0.378,0_1,14,27
llama31_8b,tc,eng,0.1,0.5031,0.5,0.0031,0.09,0.126,1_3,3,32
llama31_8b,tc,eng,0.2,0.5013,0.5009,0.0004,0.092,0.085,1_3,6,32
llama31_8b,tc,eng,0.3,0.4958,0.5003,-0.0045,0.1019,0.076,1_3,10,32
llama31_8b,tc,eng,0.4,0.5036,0.5013,0.0023,0.1007,0.056,1_3,13,32
llama31_8b,tc,eng,0.5,0.5025,0.4981,0.0044,0.1083,0.051,1_3,16,32
llama31_8b,tc,gro,0.1,0.547,0.557,-0.0101,0.0657,0.178,0_1,4,35
llama31_8b,tc,gro,0.2,0.555,0.5564,-0.0015,0.0575,0.207,0_1,7,35
llama31_8b,tc,gro,0.3,0.5588,0.557,0.0019,0.0542,0.185,0_1,10,35
llama31_8b,tc,gro,0.4,0.5634,0.5555,0.0078,0.0508,0.184,0_1,14,35
llama31_8b,tc,gro,0.5,0.5715,0.5577,0.0137,0.0507,0.144,0_1,18,35
llama31_8b,tc,nat,0.1,0.6218,0.3439,0.2778,0.1166,0.067,1_3,3,32
llama31_8b,tc,nat,0.2,0.6442,0.3451,0.2991,0.092,0.013,1_3,6,32
llama31_8b,tc,nat,0.3,0.6384,0.3406,0.2978,0.0921,0.009,1_3,10,32
llama31_8b,tc,nat,0.4,0.6546,0.3446,0.31,0.0884,0.0,1_3,13,32
llama31_8b,tc,nat,0.5,0.6816,0.3485,0.3332,0.0668,0.001,1_3,16,32
llama31_8b,wp_a,coh,0.1,0.3332,0.3217,0.0116,0.0277,0.132,1_5,40,398
llama31_8b,wp_a,coh,0.2,0.3326,0.322,0.0105,0.0302,0.117,1_5,80,398
llama31_8b,wp_a,coh,0.3,0.3304,0.3208,0.0095,0.0326,0.095,1_5,119,398
llama31_8b,wp_a,coh,0.4,0.3303,0.3213,0.0089,0.0361,0.075,1_5,159,398
llama31_8b,wp_a,coh,0.5,0.3343,0.3226,0.0117,0.0352,0.035,1_5,199,398
llama31_8b,wp_a,enj,0.1,0.1513,0.1695,-0.0182,0.0325,0.252,1_5,38,380
llama31_8b,wp_a,enj,0.2,0.1488,0.1692,-0.0204,0.0383,0.247,1_5,76,380
llama31_8b,wp_a,enj,0.3,0.1471,0.1685,-0.0215,0.0443,0.27,1_5,114,380
llama31_8b,wp_a,enj,0.4,0.1452,0.1695,-0.0243,0.0507,0.255,1_5,152,380
