judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
mistral_7b,wp_a,coh,0.3,0.3651,0.368,-0.0029,0.0143,0.138,1_5,120,400
mistral_7b,wp_a,coh,0.4,0.3633,0.3677,-0.0044,0.0176,0.134,1_5,160,400
mistral_7b,wp_a,coh,0.5,0.3641,0.3688,-0.0048,0.0196,0.117,1_5,200,400
mistral_7b,wp_a,enj,0.1,0.338,0.315,0.0229,0.0147,0.083,1_5,40,400
mistral_7b,wp_a,enj,0.2,0.3399,0.3139,0.026,0.0126,0.037,1_5,80,400
mistral_7b,wp_a,enj,0.3,0.3409,0.314,0.0268,0.0122,0.02,1_5,120,400
mistral_7b,wp_a,enj,0.4,0.3423,0.3146,0.0277,0.013,0.008,1_5,160,400
mistral_7b,wp_a,enj,0.5,0.3414,0.3147,0.0267,0.0138,0.002,1_5,200,400
mistral_7b,wp_a,gra,0.1,0.31,0.323,-0.013,0.0219,0.307,1_5,40,400
mistral_7b,wp_a,gra,0.2,0.309,0.3224,-0.0134,0.0239,0.334,1_5,80,400
mistral_7b,wp_a,gra,0.3,0.3114,0.3261,-0.0148,0.0265,0.312,1_5,120,400
mistral_7b,wp_a,gra,0.4,0.3098,0.3228,-0.0129,0.0267,0.328,1_5,160,400
mistral_7b,wp_a,gra,0.5,0.3089,0.3225,-0.0136,0.0309,0.329,1_5,200,400
mistral_7b,wp_a,rel,0.1,0.4905,0.4576,0.0329,0.0179,0.083,1_5,40,400
mistral_7b,wp_a,rel,0.2,0.4914,0.4565,0.0349,0.0171,0.047,1_5,80,400
mistral_7b,wp_a,rel,0.3,0.4979,0.4569,0.0409,0.0116,0.023,1_5,120,400
mistral_7b,wp_a,rel,0.4,0.4999,0.4583,0.0416,0.0115,0.004,1_5,160,400
mistral_7b,wp_a,rel,0.5,0.5005,0.4576,0.0429,0.0114,0.0,1_5,200,400
