judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemma3_27b,summeval,coh,0.1,0.5863,0.5595,0.0268,0.0065,0.05,1_5,10,100
gemma3_27b,summeval,coh,0.2,0.5876,0.5593,0.0283,0.0055,0.019,1_5,20,100
gemma3_27b,summeval,coh,0.3,0.5881,0.5595,0.0285,0.0059,0.002,1_5,30,100
gemma3_27b,summeval,coh,0.4,0.5885,0.5602,0.0283,0.0071,0.0,1_5,40,100
gemma3_27b,summeval,coh,0.5,0.5867,0.5591,0.0276,0.0086,0.0,1_5,50,100
gemma3_27b,summeval,con,0.1,0.6311,0.6301,0.001,0.0158,0.233,1_5,10,95
gemma3_27b,summeval,con,0.2,0.6341,0.6307,0.0034,0.0143,0.225,1_5,19,95
gemma3_27b,summeval,con,0.3,0.6364,0.6319,0.0045,0.0138,0.184,1_5,28,95
gemma3_27b,summeval,con,0.4,0.6351,0.6301,0.005,0.016,0.19,1_5,38,95
gemma3_27b,summeval,con,0.5,0.6358,0.6314,0.0044,0.018,0.162,1_5,48,95
gemma3_27b,summeval,flu,0.1,0.3718,0.367,0.0049,0.0293,0.116,1_5,10,98
gemma3_27b,summeval,flu,0.2,0.3776,0.3676,0.01,0.0236,0.079,1_5,20,98
gemma3_27b,summeval,flu,0.3,0.3829,0.3663,0.0166,0.0171,0.052,1_5,29,98
gemma3_27b,summeval,flu,0.4,0.3874,0.3669,0.0205,0.0135,0.029,1_5,39,98
gemma3_27b,summeval,flu,0.5,0.3928,0.3674,0.0254,0.0096,0.012,1_5,49,98
gemma3_27b,summeval,rel,0.1,0.5101,0.4792,0.0308,0.0135,0.045,1_5,10,100
gemma3_27b,summeval,rel,0.2,0.5117,0.4799,0.0318,0.0137,0.01,1_5,20,100
gemma3_27b,summeval,rel,0.3,0.51,0.4787,0.0312,0.0145,0.005,1_5,30,100
gemma3_27b,summeval,rel,0.4,0.51,0.4787,0.0313,0.0155,0.0,1_5,40,100
gemma3_27b,summeval,rel,0.5,0.5093,0.4791,0.0302,0.0174,0.0,1_5,50,100
gemma3_27b,newsroom,coh,0.1,0.5612,0.5143,0.047,0.0365,0.076,1_5,6,60
gemma3_27b,newsroom,coh,0.2,0.5699,0.5166,0.0532,0.0297,0.038,1_5,12,60
gemma3_27b,newsroom,coh,0.3,0.5737,0.5137,0.06,0.0234,0.016,1_5,18,60
gemma3_27b,newsroom,coh,0.4,0.5839,0.5155,0.0685,0.0151,0.006,1_5,24,60
gemma3_27b,newsroom,coh,0.5,0.5876,0.5161,0.0715,0.0112,0.001,1_5,30,60
gemma3_27b,newsroom,flu,0.1,0.6006,0.5523,0.0483,0.0349,0.124,1_5,6,60
gemma3_27b,newsroom,flu,0.2,0.6156,0.5525,0.0631,0.0207,0.045,1_5,12,60
gemma3_27b,newsroom,flu,0.3,0.6243,0.552,0.0723,0.0114,0.029,1_5,18,60
gemma3_27b,newsroom,flu,0.4,0.6304,0.5538,0.0766,0.0065,0.007,1_5,24,60
gemma3_27b,newsroom,flu,0.5,0.6299,0.5502,0.0797,0.003,0.002,1_5,30,60
gemma3_27b,newsroom,inf,0.1,0.554,0.497,0.057,0.0217,0.042,1_5,6,60
gemma3_27b,newsroom,inf,0.2,0.5615,0.4967,0.0648,0.0142,0.016,1_5,12,60
gemma3_27b,newsroom,inf,0.3,0.5651,0.4966,0.0686,0.0116,0.003,1_5,18,60
gemma3_27b,newsroom,inf,0.4,0.565,0.4961,0.0689,0.0111,0.001,1_5,24,60
gemma3_27b,newsroom,inf,0.5,0.5646,0.4947,0.0699,0.0119,0.0,1_5,30,60
gemma3_27b,newsroom,rel,0.1,0.5358,0.5253,0.0105,0.0273,0.161,1_5,6,60
gemma3_27b,newsroom,rel,0.2,0.5379,0.524,0.014,0.0248,0.149,1_5,12,60
gemma3_27b,newsroom,rel,0.3,0.5403,0.5252,0.0152,0.0242,0.122,1_5,18,60
gemma3_27b,newsroom,rel,0.4,0.5455,0.5243,0.0212,0.0183,0.07,1_5,24,60
gemma3_27b,newsroom,rel,0.5,0.5485,0.5247,0.0238,0.0154,0.04,1_5,30,60
gemma3_27b,tc,coh,0.1,0.5274,0.5515,-0.0241,0.0244,0.274,0_1,5,50
