judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemini2_flash,tc,gro,0.4,0.6639,0.674,-0.0101,0.0101,0.944,0_1,20,50
gemini2_flash,tc,gro,0.5,0.6691,0.6745,-0.0055,0.0058,0.971,0_1,25,50
gemini2_flash,tc,nat,0.1,0.5308,0.4552,0.0757,0.0454,0.061,1_3,4,36
gemini2_flash,tc,nat,0.2,0.5382,0.4568,0.0814,0.0399,0.017,1_3,7,36
gemini2_flash,tc,nat,0.3,0.5462,0.4549,0.0913,0.0318,0.003,1_3,11,36
gemini2_flash,tc,nat,0.4,0.5481,0.4546,0.0935,0.0291,0.001,1_3,14,36
gemini2_flash,tc,nat,0.5,0.5565,0.4556,0.1009,0.0259,0.0,1_3,18,36
gemini2_flash,wp_a,coh,0.1,0.5174,0.2707,0.2468,0.026,0.003,1_5,40,396
gemini2_flash,wp_a,coh,0.2,0.5236,0.271,0.2526,0.0206,0.001,1_5,79,396
gemini2_flash,wp_a,coh,0.3,0.5275,0.2717,0.2558,0.016,0.0,1_5,119,396
gemini2_flash,wp_a,coh,0.4,0.5292,0.2698,0.2595,0.0146,0.0,1_5,158,396
gemini2_flash,wp_a,coh,0.5,0.5306,0.2705,0.2601,0.0147,0.0,1_5,198,396
gemini2_flash,wp_a,enj,0.1,0.4015,0.3886,0.0129,0.0314,0.174,1_5,40,400
gemini2_flash,wp_a,enj,0.2,0.4036,0.3886,0.015,0.0303,0.164,1_5,80,400
gemini2_flash,wp_a,enj,0.3,0.4095,0.3897,0.0198,0.0238,0.114,1_5,120,400
gemini2_flash,wp_a,enj,0.4,0.4131,0.391,0.022,0.0223,0.089,1_5,160,400
gemini2_flash,wp_a,enj,0.5,0.4145,0.3882,0.0263,0.0203,0.055,1_5,200,400
gemini2_flash,wp_a,gra,0.1,0.3042,0.152,0.1522,0.0308,0.021,1_5,40,400
gemini2_flash,wp_a,gra,0.2,0.3158,0.1532,0.1626,0.021,0.003,1_5,80,400
gemini2_flash,wp_a,gra,0.3,0.3195,0.1517,0.1678,0.0203,0.0,1_5,120,400
gemini2_flash,wp_a,gra,0.4,0.3172,0.1526,0.1646,0.0245,0.0,1_5,160,400
gemini2_flash,wp_a,gra,0.5,0.3156,0.1524,0.1632,0.0284,0.0,1_5,200,400
gemini2_flash,wp_a,rel,0.1,0.5103,0.4279,0.0824,0.036,0.032,1_5,40,400
gemini2_flash,wp_a,rel,0.2,0.5203,0.4269,0.0934,0.0255,0.011,1_5,80,400
gemini2_flash,wp_a,rel,0.3,0.529,0.4276,0.1014,0.0171,0.002,1_5,120,400
gemini2_flash,wp_a,rel,0.4,0.5319,0.4293,0.1026,0.015,0.0,1_5,160,400
gemini2_flash,wp_a,rel,0.5,0.5352,0.4286,0.1066,0.0134,0.0,1_5,200,400
