judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemini3_flash,summeval,coh,0.1,0.5898,0.6116,-0.0218,0.0218,0.494,1_5,10,99
gemini3_flash,summeval,coh,0.2,0.5927,0.6113,-0.0185,0.0186,0.621,1_5,20,99
gemini3_flash,summeval,coh,0.3,0.5947,0.6114,-0.0167,0.0171,0.695,1_5,30,99
gemini3_flash,summeval,coh,0.4,0.5993,0.612,-0.0127,0.0139,0.793,1_5,40,99
gemini3_flash,summeval,coh,0.5,0.6008,0.6108,-0.0101,0.0123,0.857,1_5,50,99
gemini3_flash,summeval,con,0.1,0.6977,0.6775,0.0202,0.0141,0.137,1_5,9,92
gemini3_flash,summeval,con,0.2,0.6994,0.6777,0.0217,0.0125,0.078,1_5,18,92
gemini3_flash,summeval,con,0.3,0.7002,0.6767,0.0235,0.0113,0.036,1_5,28,92
gemini3_flash,summeval,con,0.4,0.7022,0.6776,0.0246,0.0107,0.02,1_5,37,92
gemini3_flash,summeval,con,0.5,0.7038,0.6763,0.0275,0.0095,0.01,1_5,46,92
gemini3_flash,summeval,flu,0.1,0.4497,0.4543,-0.0047,0.0086,0.467,1_5,10,98
gemini3_flash,summeval,flu,0.2,0.4513,0.4543,-0.0029,0.0078,0.459,1_5,20,98
gemini3_flash,summeval,flu,0.3,0.4509,0.4538,-0.0029,0.0086,0.464,1_5,29,98
gemini3_flash,summeval,flu,0.4,0.4501,0.454,-0.004,0.0108,0.464,1_5,39,98
gemini3_flash,summeval,flu,0.5,0.4503,0.4555,-0.0052,0.0128,0.415,1_5,49,98
gemini3_flash,summeval,rel,0.1,0.4973,0.5138,-0.0165,0.0165,0.63,1_5,10,97
gemini3_flash,summeval,rel,0.2,0.5037,0.5127,-0.0089,0.0089,0.735,1_5,19,97
gemini3_flash,summeval,rel,0.3,0.5065,0.5135,-0.007,0.007,0.803,1_5,29,97
gemini3_flash,summeval,rel,0.4,0.5072,0.5136,-0.0063,0.0066,0.844,1_5,39,97
gemini3_flash,summeval,rel,0.5,0.5103,0.514,-0.0037,0.0043,0.922,1_5,48,97
gemini3_flash,newsroom,coh,0.1,0.519,0.5577,-0.0387,0.0406,0.205,1_5,6,60
gemini3_flash,newsroom,coh,0.2,0.5199,0.5589,-0.039,0.0435,0.241,1_5,12,60
gemini3_flash,newsroom,coh,0.3,0.5167,0.5562,-0.0396,0.0474,0.291,1_5,18,60
gemini3_flash,newsroom,coh,0.4,0.5193,0.5588,-0.0395,0.0522,0.334,1_5,24,60
gemini3_flash,newsroom,coh,0.5,0.5158,0.5596,-0.0439,0.0596,0.355,1_5,30,60
