judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemini31_pro,tc,gro,0.4,0.3816,0.3389,0.0427,0.0963,0.054,0_1,20,50
gemini31_pro,tc,gro,0.5,0.3929,0.3403,0.0526,0.0916,0.033,0_1,25,50
gemini31_pro,tc,nat,0.1,0.5203,0.5936,-0.0733,0.0734,0.426,1_3,5,50
gemini31_pro,tc,nat,0.2,0.5297,0.5945,-0.0648,0.0652,0.534,1_3,10,50
gemini31_pro,tc,nat,0.3,0.5377,0.5943,-0.0566,0.0582,0.628,1_3,15,50
gemini31_pro,tc,nat,0.4,0.5449,0.5946,-0.0497,0.054,0.697,1_3,20,50
gemini31_pro,tc,nat,0.5,0.5513,0.5931,-0.0418,0.0513,0.775,1_3,25,50
gemini31_pro,wp_a,coh,0.1,0.5069,0.5749,-0.068,0.068,0.422,1_5,40,400
gemini31_pro,wp_a,coh,0.2,0.5256,0.5749,-0.0493,0.0493,0.595,1_5,80,400
gemini31_pro,wp_a,coh,0.3,0.5428,0.5729,-0.0301,0.0302,0.775,1_5,120,400
gemini31_pro,wp_a,coh,0.4,0.5549,0.5726,-0.0177,0.0181,0.871,1_5,160,400
gemini31_pro,wp_a,coh,0.5,0.5611,0.5743,-0.0131,0.014,0.927,1_5,200,400
gemini31_pro,wp_a,enj,0.1,0.3461,0.413,-0.0669,0.0669,0.386,1_5,40,400
gemini31_pro,wp_a,enj,0.2,0.3547,0.412,-0.0573,0.0579,0.486,1_5,80,400
gemini31_pro,wp_a,enj,0.3,0.3621,0.413,-0.0509,0.0526,0.581,1_5,120,400
gemini31_pro,wp_a,enj,0.4,0.3709,0.413,-0.0422,0.0461,0.665,1_5,160,400
gemini31_pro,wp_a,enj,0.5,0.377,0.4107,-0.0337,0.0424,0.765,1_5,200,400
gemini31_pro,wp_a,gra,0.1,0.3625,0.3952,-0.0327,0.0631,0.271,1_5,40,400
gemini31_pro,wp_a,gra,0.2,0.3743,0.3952,-0.021,0.0535,0.302,1_5,80,400
gemini31_pro,wp_a,gra,0.3,0.3834,0.3954,-0.0121,0.0453,0.291,1_5,120,400
gemini31_pro,wp_a,gra,0.4,0.3873,0.393,-0.0056,0.0443,0.313,1_5,160,400
gemini31_pro,wp_a,gra,0.5,0.3937,0.395,-0.0013,0.0409,0.285,1_5,200,400
gemini31_pro,wp_a,rel,0.1,0.4151,0.4042,0.0109,0.0592,0.189,1_5,40,400
gemini31_pro,wp_a,rel,0.2,0.4199,0.4042,0.0157,0.0538,0.16,1_5,80,400
gemini31_pro,wp_a,rel,0.3,0.4212,0.4031,0.0181,0.0556,0.142,1_5,120,400
gemini31_pro,wp_a,rel,0.4,0.4292,0.4029,0.0263,0.0489,0.116,1_5,160,400
gemini31_pro,wp_a,rel,0.5,0.435,0.4063,0.0287,0.0449,0.06,1_5,200,400
