judge,dataset,metric,fraction,sel_spearman,canon_spearman,delta_spearman,test_oracle_regret,pick_canonical_rate,canonical_range,calib_size,n_units
gemma2_9b,wp_a,coh,0.2,0.4412,0.4628,-0.0215,0.0215,0.635,1_5,80,400
gemma2_9b,wp_a,coh,0.3,0.4451,0.4609,-0.0158,0.0159,0.747,1_5,120,400
gemma2_9b,wp_a,coh,0.4,0.4473,0.4606,-0.0133,0.0136,0.809,1_5,160,400
gemma2_9b,wp_a,coh,0.5,0.4516,0.4608,-0.0092,0.0104,0.888,1_5,200,400
gemma2_9b,wp_a,enj,0.1,0.409,0.4236,-0.0146,0.0149,0.388,1_5,40,400
gemma2_9b,wp_a,enj,0.2,0.4101,0.4223,-0.0122,0.0132,0.479,1_5,80,400
gemma2_9b,wp_a,enj,0.3,0.4124,0.4236,-0.0112,0.0134,0.523,1_5,120,400
gemma2_9b,wp_a,enj,0.4,0.4112,0.4237,-0.0125,0.0156,0.547,1_5,160,400
gemma2_9b,wp_a,enj,0.5,0.4074,0.4212,-0.0137,0.0185,0.561,1_5,200,400
gemma2_9b,wp_a,gra,0.1,0.4046,0.3898,0.0148,0.0184,0.124,1_5,40,400
gemma2_9b,wp_a,gra,0.2,0.408,0.3892,0.0188,0.0149,0.073,1_5,80,400
gemma2_9b,wp_a,gra,0.3,0.4113,0.3914,0.0199,0.0145,0.049,1_5,120,400
gemma2_9b,wp_a,gra,0.4,0.4091,0.3883,0.0208,0.0146,0.023,1_5,160,400
gemma2_9b,wp_a,gra,0.5,0.4106,0.3885,0.0221,0.0154,0.01,1_5,200,400
gemma2_9b,wp_a,rel,0.1,0.5923,0.5392,0.0531,0.0117,0.061,1_5,40,400
gemma2_9b,wp_a,rel,0.2,0.596,0.539,0.057,0.0088,0.015,1_5,80,400
gemma2_9b,wp_a,rel,0.3,0.5952,0.5384,0.0568,0.0104,0.007,1_5,120,400
gemma2_9b,wp_a,rel,0.4,0.5959,0.539,0.0569,0.0114,0.003,1_5,160,400
gemma2_9b,wp_a,rel,0.5,0.5953,0.5404,0.0549,0.0138,0.0,1_5,200,400
