judge,grounding,instruction_following,planning,reasoning,refinement,safety,theory_of_mind,tool_usage
Gemini-3.1-Pro,+0.035,+0.046,+0.021,+0.028,+0.012,+0.023,+0.000,+0.053
Gemini-3-Flash,+0.009,+0.012,+0.037,+0.022,+0.040,+0.012,+0.031,+0.052
Gemma-3-27B,+0.007,+0.019,+0.012,+0.015,+0.002,+0.000,+0.016,+0.034
LLaMA-3.1-70B,+0.003,+0.041,+0.000,+0.000,+0.072,+0.008,+0.048,+0.000
Qwen3-4B,+0.062,+0.087,+0.057,+0.004,+0.035,+0.046,+0.020,+0.024
Gemma-2-9B,+0.008,+0.000,+0.000,+0.004,+0.043,+0.000,+0.000,+0.000
LLaMA-3.1-8B,+0.028,+0.072,+0.053,+0.094,+0.000,+0.063,+0.141,+0.172
Mistral-7B,+0.068,+0.029,+0.000,+0.034,+0.023,+0.000,+0.000,+0.030
