metric,range_min,range_max,range_width,range_category,is_canonical,pearson,spearman,kendalltau,n_runs
coh,0,1,1,standard,False,0.3527879477725459,0.40245773635593024,0.31459547395768345,3
coh,1,3,2,standard,False,0.40738111420096496,0.40821721454890425,0.33637845805303385,3
coh,1,5,4,canonical,True,0.44462664568758176,0.453636145220993,0.36897190240122296,3
coh,0,10,10,standard,False,0.42804433406253867,0.41170540072493433,0.313347680723611,3
coh,0,100,100,standard,False,0.43404459469526385,0.4263940493129114,0.3228639902096275,3
enj,0,1,1,standard,False,0.3698583491445799,0.3956305704687077,0.30341710246843584,3
enj,1,3,2,standard,False,0.35873503487990277,0.379258787863673,0.3018955766902847,3
enj,1,5,4,canonical,True,0.3823155327745839,0.39927929844273624,0.3127866010951037,3
enj,0,10,10,standard,False,0.38424968628230755,0.3984017519960111,0.30093908354535853,3
enj,0,100,100,standard,False,0.3836744201612953,0.39344881635485346,0.2973408551211934,3
gra,0,1,1,standard,False,0.37048564421798896,0.3964355337474264,0.2992469688862412,3
gra,1,3,2,standard,False,0.3642552715295122,0.4280505737747559,0.3335848485047251,3
gra,1,5,4,canonical,True,0.363253721351994,0.3905264126715214,0.30277500363445226,3
gra,0,10,10,standard,False,0.371546085480434,0.40377857786869525,0.29928752420384713,3
gra,0,100,100,standard,False,0.3326838335613867,0.38187956198018985,0.2849740812234492,3
rel,0,1,1,standard,False,0.49068542093977635,0.5915380086666211,0.46608052248639903,3
rel,1,3,2,standard,False,0.46281329476988436,0.488143975805992,0.3976862359876702,3
rel,1,5,4,canonical,True,0.512300687159465,0.527858202149997,0.4241961631089162,3
rel,0,10,10,standard,False,0.5569807851843688,0.5977040068398001,0.4646497412920289,3
rel,0,100,100,standard,False,0.5726580874296029,0.5953225586667975,0.4620050120956975,3
